Date,estimated-transaction-volume-usd,estimated-transaction-volume,Output-volume,n-transactions-excluding-chains-longer-than-100,n-transactions-excluding-popular,n-unique-addresses,Cost-per-transaction,Transaction-fees,Miners-revenue,difficulty,Hash-rate,median-confirmation-time,n-transactions-per-block,n-orphaned-blocks,avg-block-size,trade-volume,market-price
2016-09-29,154115925.829105,254451.0728918,1838851.92448833,156615,245515,440834,4.63134362542472,68.53955587,1083864.36,241227200229,1714780.09064995,9.35,1697.41258741259,0,0.832816377622378,12937983.9999381,606.36375
2016-09-30,153295465.536533,250909.16841779,2464312.41000339,156505,208930,442960,4.48816915355515,68.45068728,1084454,241227200229,1702788.62148456,9.28333333333333,1767.20422535211,0,0.843357401408451,12885196.8875655,609.3962875
2016-10-01,103778194.305686,168997.84117002,1536124.18253851,135733,188141,391458,5.80189823659492,58.7351644,1205132,241227200229,1882660.65896533,7.68333333333333,1362.61146496815,0,0.711277044585987,7094655.17853165,614.8238
2016-10-02,98603245.0443822,161729.5057151,1420395.1808181,127679,255570,396449,5.74587121491268,53.42262056,1074561,241227200229,1690797.15231918,8.76666666666667,1366.54609929078,0,0.718532163120567,9087020.02498057,610.5189125
2016-10-03,153303975.304039,250145.18047195,2004659.20174566,158004,259375,469732,4.64243889766163,75.66885784,1164434,241227200229,1822703.31313841,8.76666666666667,1715.875,1,0.865433519736842,11646426.4053177,611.8511
2016-10-04,168434258.217182,275755.56755322,1906791.15251349,167686,261818,477181,4.72202003792242,71.03602966,1206349.75,241227200229,1894652.12813071,9.21666666666667,1675.07594936709,0,0.823938892405063,12709516.1754554,609.6248125
2016-10-05,149242509.558375,243264.07425978,2302843.29977647,166545,269284,470499,4.96730204106525,72.77844316,1281294.75,241227200229,2002575.35061917,8.21666666666667,1597.67065868263,0,0.788912035928144,11326509.2509257,612.3522875
2016-10-06,147862058.632374,240794.15469559,2291725.00663057,166297,262224,497719,4.6761018213935,77.72649993,1237023.87,241227200229,1930626.53562686,8.46666666666667,1704.88198757764,0,0.827400583850932,10859575.0872504,612.08875
2016-10-07,143894359.711071,232121.37199121,2375918.79916293,159693,241852,471181,4.32506315272474,72.73818198,1116457.91,241227200229,1726771.55981533,8.65,1864.02083333333,1,0.8684020625,15826419.3015592,617.21035
2016-10-08,132635392.01253,213666.13830229,2376975.88288046,153294,202451,439803,5.39854093051207,67.51007174,1311355.5,250540187707,2171858.80432592,6.35,1483.26627218935,0,0.761241775147929,7779460.19892712,618.046
2016-10-09,118494680.529193,192461.47435225,2698212.13166017,134274,220329,410522,6.01876060548205,58.27379152,1232591.36,258522748404,2056197.68456892,7.16666666666667,1315.925,0,0.68225275,6954834.42997824,615.65675
2016-10-10,147286256.400875,237992.23811281,2601110.01646403,146119,258548,421619,4.49020421188534,68.34518804,969459.855,258522748404,1606404.44106947,11.25,1798.192,1,0.857546336,13372142.5334413,617.54825
2016-10-11,194960089.535012,304140.41611028,2864039.24135101,177381,231243,444786,4.42220259690209,80.75501147,1114413.27,258522748404,1786321.73846925,10.9666666666667,1896.15107913669,0,0.923088669064748,29027519.1582502,639.30995
2016-10-12,291240400.927516,456876.35448109,2714191.17601896,151054,225582,400579,5.08946759044204,69.03655168,1156671.17,258522748404,1863429.15164058,9.51666666666667,1625.26896551724,1,0.865467813793103,14634705.6095759,635.0139375
2016-10-13,165694238.83293,259949.23021749,2088161.19223908,158721,235124,400731,4.62614608742918,67.12105979,1020493.41,258522748404,1644958.14765514,10.0666666666667,1794.5546875,0,0.9120396875,14355952.0573632,635.9650875
2016-10-14,152633388.497268,237995.08598891,2021409.06019789,160177,206188,423263,4.72993985346068,68.01350542,1090902.33,258522748404,1747768.03188358,10.2333333333333,1762.67647058824,0,0.858694691176471,12472092.7624402,639.565642857143
2016-10-15,129633563.747995,202679.11780487,3408105.66958182,143497,193764,384627,5.58489207572949,62.6006372,1135929.6,258522748404,1824875.44505492,10.2166666666667,1482.02816901408,0,0.781651549295775,6525990.9413386,637.949857142857
2016-10-16,118023531.20024,183192.39313358,2461115.97557144,134442,233318,383032,5.47817156068659,57.54846761,1047566.76,258522748404,1670660.61871225,8.28333333333333,1522.12307692308,0,0.758897684615385,6985758.74822197,641.425125
2016-10-17,162800543.735479,254761.97320232,1887070.93736659,166443,246870,435282,4.4040282314466,72.44112233,1001040.495,258522748404,1606404.44106947,11.2666666666667,1897.856,0,0.929673328,15611329.769091,638.1833875
2016-10-18,216932535.923707,339498.1625774,2509108.68066043,165754,195522,435277,5.1183750258174,77.24037508,1239301.71,258522748404,1991941.50692614,9.11666666666667,1622.71612903226,0,0.841848612903226,14579936.5177125,636.2965
2016-10-19,154515407.861953,244660.60939269,1956770.55801153,139661,265025,406991,5.14620892954254,63.05977367,998480.55,258522748404,1619255.67659802,10.25,1595.43650793651,1,0.808916111111111,20346645.9027742,629.253675
2016-10-20,183925044.682176,290684.8808847,2465644.968719,189028,260621,415474,4.12877183558272,89.31863339,1065517.32,258522748404,1722065.56082647,13.4166666666667,2017.76119402985,0,0.977431686567164,12216884.5043264,630.22705
2016-10-21,158295045.013535,249142.28943203,3172355.53479678,167442,212078,453739,5.09064041602511,76.08109984,1302488,258522748404,2107602.62668314,6.7,1618.01829268293,0,0.791085920731707,16705327.8898865,631.9242125
2016-10-22,127614330.114189,192181.57329366,1351493.2184269,152388,187498,392804,5.91117744212964,66.62886636,1237419.905,257535264827.557,1878507.28210418,7.9,1454.41610738255,0,0.793872953020134,22686988.3445596,655.4886625
2016-10-23,104494840.845125,158618.72073397,1877896.51694899,138080,222000,376683,6.42177330651466,67.49823388,1186462.78,253618246641,1815470.12498659,9.28333333333333,1330.40277777778,0,0.792336895833333,11562593.8994809,653.0028625
2016-10-24,207336575.28073,316549.22255413,3736942.23494067,152458,231657,433234,5.39229997044628,81.14570038,1173414.585,253618246641,1802862.69356308,9.13333333333333,1587.27272727273,0,0.886370272727273,17690445.870383,651.396425
2016-10-25,195708742.53039,297524.6545712,3108006.83436674,163127,221026,432977,5.09678701110122,99.09135171,1158039.295,253618246641,1752432.967869,12.15,1705.25179856115,0,0.943928338129496,23862151.3272269,655.31995
2016-10-26,176802053.030709,262305.9107617,2207786.45616698,161510,321760,431781,5.55684268534795,125.06416902,1204154.595,253618246641,1752432.967869,19.8833333333333,1625.35251798561,1,0.974569446043165,32748237.8961147,672.2214125
2016-10-27,283234072.631908,413239.09050468,3492141.35920222,229969,245721,457806,4.48559129008155,111.04197547,1402328.4,253618246641,2042403.89060992,12.45,2014.74074074074,0,0.977625672839506,26863753.6490747,682.2239625
2016-10-28,194600191.984387,281829.12422249,1564832.96989642,172862,223780,434269,5.45560178255592,82.18591551,1318835.9,253618246641,1916329.57637474,8.2,1650.5,0,0.816514105263158,22221917.8413944,687.6883375
2016-10-29,167480078.006046,233724.65775297,1503224.75170966,170169,202975,416457,6.03876670060795,73.16334719,1338194.475,253618246641,1878507.28210418,7.96666666666667,1541.53691275168,0,0.773039704697987,29728643.8012305,714.89545
2016-10-30,179744501.359797,255376.9341893,1345052.92081529,150690,236627,360327,7.31443161668604,62.96767922,1487565.84,253618246641,2130655.91057454,8.75,1238.68047337278,1,0.627130147928994,21222263.7923216,698.0034
2016-10-31,207351752.694342,294128.47737399,1806193.77652676,162867,242315,458880,5.58023044097932,76.30761672,1298202.255,253618246641,1853292.41925715,12.9,1644.74829931973,0,0.810984272108843,23116856.3810014,702.0015125
