"","x"
"1","Date"
"2","estimated.transaction.volume.usd"
"3","estimated.transaction.volume"
"4","Output.volume"
"5","n.transactions.excluding.chains.longer.than.100"
"6","n.transactions.excluding.popular"
"7","n.unique.addresses"
"8","Cost.per.transaction"
"9","Transaction.fees"
"10","Miners.revenue"
"11","difficulty"
"12","Hash.rate"
"13","median.confirmation.time"
"14","n.transactions.per.block"
"15","n.orphaned.blocks"
"16","avg.block.size"
"17","trade.volume"
"18","market.price"
