"","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.x.arima.residuals.temp.resid","x.arima.residuals.temp.resid","temp.resid"
"1",89963.5314676829,-95332.4583184349,1475.50858140302,134.287878806864,188.779859993409,376.567715050683,0.00583483602453231,0.0576399513234611,1239.34927252437,223912948.025458,1812.1840026372,0.00849999247012539,1.32226287079471,0,0.000754383446172727,8953.08974181423
"2",5663262.07683,-33596.548030408,130749.118500729,-13841.4650443343,26351.9772452937,-5882.60782091233,-0.0110948159935588,-4.35775103928124,-107738.208180695,-1919812197.10467,-169465.445174838,-0.601016412911507,-0.726845444250247,0,-0.0665791254094148,312390.41462624
"3",30076057.3983876,13631.4905764119,440309.221875564,13544.4694834465,26135.6690822904,24147.4854235967,-1.29230904948799,11.632114868365,-149029.669916341,-1919812197.09641,-242555.411657285,2.48287035515933,309.655727579651,0,0.1228950064247,3146214.03300709
"4",19697604.8265191,2106.58318433538,377070.217578122,13673.4844097341,6735.16325351969,27526.1617676422,-0.470627373608001,6.3237046542156,94158.8853294017,-1919812197.09644,72557.8800807511,-0.728771539207274,37.179709102406,1.74037334748229,-0.00883202381865614,2246690.51906219
"5",11199627.5233651,120.808747016854,-191340.618688555,2448.97245225335,7158.62004146844,8598.81796217306,0.0656404518124151,-1.29024120265413,99609.5764156561,-1919812197.09641,132360.552110956,-2.0447047260549,-56.4815889942412,-0.301091485403106,-0.059575615868408,8160649.37120951
"6",-26915861.8511496,-63509.6489489086,458447.175288396,1763.05888473645,1580.90145064498,-2770.25712747434,-0.754582324747451,-1.61592241095143,-133399.972389081,-1919812197.09644,-190835.877499916,1.11007332063768,228.313981984059,-0.406551852025831,0.0279512184859407,-4389899.71484898
"7",17323347.1565388,11076.5745032673,131664.368271535,1725.78103194979,-11071.5204610458,-3435.34299764596,-0.38839263903941,-2.98816343319502,-66001.420246543,-1919812197.09641,-195600.804285203,1.23198930694612,38.0689392655658,-0.357087694753886,0.0458409887007812,-2337284.77956836
"8",-39024802.4024385,-83713.5907817945,-63744.122972828,-3769.91044789504,-22027.3235062361,-23948.2703439727,1.05160996009305,-1.67425524900327,185971.683487743,-1919812197.09644,197546.327654192,-1.79325455369165,-297.71408317951,0.637769101512673,-0.140934734687642,-6396408.7839089
"9",34922052.7688052,47046.2350478231,-124628.619237309,-5086.42030014424,14125.1030780946,-9903.86883912427,1.43534419902916,-10.384725055861,201480.145601,6936064690.90359,440048.085938943,-2.43510631132274,-286.245734757125,0.652735444932987,-0.123763598730456,-2925387.29516346
"10",5324156.14942984,-13521.2070022838,366502.001004998,14037.4287350405,8178.00393978623,43594.1442162005,-1.32808234978149,6.78551083437804,-116256.262991166,4618638964.90359,-94379.7456721452,-1.20685187263523,167.179146813149,-0.370515375723105,0.114458989325989,6877591.08476413
"11",-5503121.86740662,-14135.9857911105,-338942.98634995,4122.7932512045,1250.0228582592,16511.6493267539,-0.337588083480854,4.09147268243878,67495.5081652871,-1919812197.09644,130703.857241872,-0.856210937070552,-133.337872351116,1.5034112180402,0.0151355634970235,1135532.24044392
"12",3075602.30441159,-6459.50315584643,663397.451033204,4143.72616637298,15589.3987417804,33287.6817512907,-0.819024895427,2.78779489933132,-140889.28178695,-1919812197.09644,-149830.156928562,1.16323582356056,164.799571093098,-0.392134163277016,0.0366377768634353,-3027406.16232387
"13",771895.542549371,-3863.87093013672,-420942.507545014,11393.6431255393,20843.1113434306,34488.2659561979,-0.811588480258668,5.28020616332105,-132294.702425608,-1919812197.09641,-243763.667817689,1.30784720550516,224.795016445636,-0.532118268476034,0.0749233879640042,2221250.94611388
"14",-1445007.7945356,-10754.2876638691,537521.549148345,11004.1013068902,-19954.7267931623,23951.2187239487,-0.69694799206432,2.15271636616714,3501.46529325435,-1919812197.09641,-109220.337178622,1.07182664563839,183.617147205408,-0.507208273771616,0.0575244722724434,843960.409126565
"15",-53066473.8367736,-90500.8750364015,-689834.372077928,-3482.64915822918,-26077.4762002024,-23405.0512330769,0.806272720576486,-8.25081450246169,61210.8846691329,-1919812197.09644,-27000.6845293036,-0.66017127835328,-190.22790271551,-0.471421094323914,-0.084390913830429,-5449824.05774405
"16",-27514534.8740081,-47706.6755957559,-344125.476691172,-9743.41376039826,43345.0368537151,-8297.82535494829,0.153515641806887,-7.54103924187396,-54421.7651006149,-1919812197.09641,-151442.367868944,0.503977989612144,-31.0505659821659,-0.438796119597119,-0.016755488875781,-207799.086288208
"17",33216177.6582483,45151.257754267,304292.614582928,14917.3755808887,12911.2261783318,62542.634318931,-1.0479378451258,19.0085631534603,40408.3523819693,-1919812197.09644,-60057.5366390926,0.440874429639261,247.434069811852,0.572062633829957,0.128731292209325,2475515.22163811
"18",14710455.5152129,16723.7852188711,-72376.9127293832,11157.1683750399,22166.5245074289,37442.0859256952,-0.462964474511926,0.547340223408666,88437.7097297346,-1919812197.09641,67850.1594879992,0.835414413890353,6.90646303513945,-0.350717635363892,0.016626189395683,2062487.04386645
"19",-17160759.5007298,-31420.2550424234,366860.580284207,7527.24775380815,31758.8482403531,37824.2923995456,-0.14971267232391,3.66682241747289,69052.8525421624,-1919812197.09644,71812.5857114922,-0.266844268357869,44.8294471400711,-0.417039735578623,-0.00391266258033325,-550354.428304172
"20",-7540928.80546816,-14032.0356719137,157905.254952604,7970.66346697521,20352.2984324891,62768.1879649423,-0.507353402323881,6.80542201814244,34311.1737721447,-1919812197.09641,14516.0044664987,0.0158220779281271,169.822346194956,-0.401816746737527,0.0485777553605845,-689119.311407029
"21",-10827338.1234564,-21195.2538444252,238079.683021444,2263.97102398755,-267.146122214668,12766.362710357,-0.697262263754243,-2.1182327116905,-140363.36141381,-1919812197.09641,-245689.27458913,0.197094201099114,207.250206802539,0.606768570668267,0.0695361635868938,4688637.90191199
