"","x"
"1",-0.00130984888145482
"2",0.00135843494480733
"3",-0.0118183906472309
"4",-0.00932604379784641
"5",-0.0372270863394981
"6",-0.0120938899790537
"7",0.0101744832034083
"8",-0.00904128751800304
"9",-0.0138774902635248
"10",0.00897924045067144
"11",-0.0139615967136768
"12",-0.00889345988174139
"13",-0.00631132006425905
"14",-6.62784385687676e-05
"15",0.00620891213802
"16",-0.0195075046189066
"17",-0.00461146446414928
"18",-0.0140365239087341
"19",-0.000915236006081344
"20",-0.00883482186674467
"21",0.00534430865623237
"22",-0.00594908221285961
"23",-0.0144055351926675
"24",-0.0031747299864
"25",0.0478985249270885
"26",-0.0190479655306617
"27",-0.00571653226302993
"28",0.00099658074103548
"29",-0.0122313079847414
"30",0.000652221498328664
"31",-0.0163366389609836
"32",-0.0129294299518536
"33",-0.0261475624177738
"34",-0.00563731787589772
"35",-0.00378684099284987
"36",0.0511012227058072
"37",-0.0142861065634792
"38",-0.0121237586226433
"39",0.00157841775647571
"40",0.0330641690231219
"41",0.015760748031233
"42",0.00477012756163164
"43",0.0546432027343411
"44",-0.0468298170992814
"45",0.00110335600739631
"46",0.0511628679003342
"47",0.00321876863787596
"48",-0.115702611700566
"49",0.0326642854689358
"50",-0.0056182908980773
"51",0.00833562842934898
"52",-0.0268450738470081
"53",0.00367166959268395
"54",0.0189189833281702
"55",-0.0244698627678015
"56",-0.00413225429213204
"57",-0.0349123006226459
"58",-0.0123212472109777
"59",0.00235508311082211
"60",0.00200412820570395
"61",0.0499914828477053
"62",-0.00803484057263382
"63",0.0148830187218019
"64",-0.00271627813519904
"65",-0.0540090004758971
"66",0.0127458280608668
"67",0.0140812711578078
"68",-0.0235786494038088
"69",-0.0173013560527127
"70",-0.00302148800633173
"71",-0.0215644555921077
"72",-0.0207749563514541
"73",0.00312846607980788
"74",-0.00888896217258206
"75",0.0137619962537685
"76",0.0125335395794646
"77",0.0347194924158447
"78",-0.0251902790986287
"79",-0.00712964134861971
"80",-0.0298123800703929
"81",-0.00389472232366539
"82",0.0120409535528732
"83",-0.000525269542705153
"84",-0.00751121502146246
"85",-0.00106585820642024
"86",-0.0188395631723979
"87",0.0100888512188546
"88",-0.00504548721798725
"89",-0.0156307605509833
"90",-0.00426921569393546
"91",0.00186341706933901
"92",0.00657039828741435
"93",-0.00875337480437466
"94",-0.00584467983335979
"95",-0.000846553582663612
"96",0.0541557520488993
"97",0.0617511773237971
"98",0.0666623753091025
"99",-0.0256564455602044
"100",-0.0167125341409109
"101",0.0107881250105881
"102",0.0503691995570654
"103",0.0551379464638475
"104",-0.0150078006786443
"105",-0.0271024823619956
"106",0.0049337500989588
"107",0.0544390948998819
"108",0.0211865797867163
"109",0.00323232344945534
"110",0.147957304307053
"111",-0.209891459654968
"112",-0.200652100175853
"113",0.0168270565949435
"114",0.0121549678049986
"115",-0.0332200081140943
"116",0.0132115341604142
"117",-0.239736278588344
"118",0.0288337016300118
"119",0.0373846040991124
"120",-0.0246373621445368
"121",0.000335607633238588
"122",0.00810888883405414
"123",0.128789092936366
"124",-0.0606290096339623
"125",0.0298824377726703
"126",-0.0120767764703875
"127",0.0397214584608911
"128",-0.0113836160144707
"129",-0.00203768389202375
"130",-0.0648412521115951
"131",-0.00319276951545211
"132",0.0328485640370291
